paradigm,regime,shuffled,subject,n,acc,ci_lo,ci_hi,sig_thresh,majority,train_acc
imagined,D LOSO + 16 calib trials,False,14,26,0.8076923076923077,0.6064944720606782,0.9344518912632175,0.6538461538461539,,0.6886666666666666
imagined,D LOSO + 16 calib trials,False,19,26,0.8076923076923077,0.6064944720606782,0.9344518912632175,0.6538461538461539,,0.6866666666666666
imagined,D LOSO + 16 calib trials,False,20,26,0.6153846153846154,0.40570753529859144,0.7977397563449796,0.6538461538461539,,0.6886666666666666
imagined,D LOSO + 16 calib trials,False,22,29,0.6896551724137931,0.4916766461900099,0.8471540603913684,0.6551724137931034,,0.69
imagined,D LOSO + 16 calib trials,False,25,26,0.8846153846153846,0.6984595998924322,0.9755419246820378,0.6538461538461539,,0.688
imagined,D LOSO + 16 calib trials,False,26,26,0.6923076923076923,0.48210356355425843,0.8567400020722964,0.6538461538461539,,0.6866666666666666
imagined,D LOSO + 16 calib trials,False,27,26,0.5,0.2992721794415965,0.7007278205584035,0.6538461538461539,,0.692
imagined,D LOSO + 16 calib trials,False,30,29,0.6896551724137931,0.4916766461900099,0.8471540603913684,0.6551724137931034,,0.6853333333333333
imagined,D LOSO + 16 calib trials,False,31,26,0.8846153846153846,0.6984595998924322,0.9755419246820378,0.6538461538461539,,0.6833333333333333
imagined,D LOSO + 16 calib trials,False,32,29,0.9655172413793104,0.822355704511277,0.9991273531164201,0.6551724137931034,,0.6806666666666666
imagined,D LOSO + 16 calib trials,False,33,26,0.8076923076923077,0.6064944720606782,0.9344518912632175,0.6538461538461539,,0.688
imagined,D LOSO + 16 calib trials,False,35,29,0.6896551724137931,0.4916766461900099,0.8471540603913684,0.6551724137931034,,0.6886666666666666
imagined,D LOSO + 16 calib trials,False,36,26,0.6153846153846154,0.40570753529859144,0.7977397563449796,0.6538461538461539,,0.694
imagined,D LOSO + 16 calib trials,False,37,27,0.48148148148148145,0.28667254813193965,0.6805034538666164,0.6666666666666666,,0.6926666666666667
imagined,D LOSO + 16 calib trials,False,39,26,0.6923076923076923,0.48210356355425843,0.8567400020722964,0.6538461538461539,,0.69
imagined,D LOSO + 16 calib trials,False,41,28,0.8928571428571429,0.7177356042846756,0.977334909360941,0.6428571428571429,,0.6933333333333334
imagined,D LOSO + 16 calib trials,False,43,26,0.8846153846153846,0.6984595998924322,0.9755419246820378,0.6538461538461539,,0.6906666666666667
imagined,D LOSO + 16 calib trials,False,46,29,0.7931034482758621,0.6027530507727604,0.9200581511239199,0.6551724137931034,,0.692
imagined,D LOSO + 16 calib trials,False,49,26,0.9615384615384616,0.803630353237461,0.9990267121066649,0.6538461538461539,,0.6926666666666667
imagined,D LOSO + 16 calib trials,False,50,26,0.6538461538461539,0.4433280739576097,0.8278558619943336,0.6538461538461539,,0.694
imagined,D LOSO + 16 calib trials,False,51,29,0.6551724137931034,0.4566942723320567,0.8206163507648881,0.6551724137931034,,0.6913333333333334
imagined,D LOSO + 16 calib trials,False,52,26,0.8076923076923077,0.6064944720606782,0.9344518912632175,0.6538461538461539,,0.694
imagined,D LOSO + 16 calib trials,False,54,26,0.7692307692307693,0.5635249030586136,0.9102598891154248,0.6538461538461539,,0.692
imagined,D LOSO + 16 calib trials,False,57,29,0.7241379310344828,0.527615517569966,0.8726598858977699,0.6551724137931034,,0.6913333333333334
imagined,D LOSO + 16 calib trials,False,59,26,0.5,0.2992721794415965,0.7007278205584035,0.6538461538461539,,0.6933333333333334
imagined,D LOSO + 16 calib trials,False,60,26,0.8846153846153846,0.6984595998924322,0.9755419246820378,0.6538461538461539,,0.6913333333333334
imagined,D LOSO + 16 calib trials,False,61,29,0.8275862068965517,0.6422524455853559,0.9415439170273656,0.6551724137931034,,0.692
imagined,D LOSO + 16 calib trials,False,63,26,0.4230769230769231,0.23352198312744346,0.6308196190760333,0.6538461538461539,,0.6953333333333334
imagined,D LOSO + 16 calib trials,False,66,29,0.3448275862068966,0.17938364923511183,0.5433057276679433,0.6551724137931034,,0.6906666666666667
imagined,D LOSO + 16 calib trials,False,68,26,0.6923076923076923,0.48210356355425843,0.8567400020722964,0.6538461538461539,,0.6933333333333334
imagined,D LOSO + 16 calib trials,False,69,26,0.5384615384615384,0.33370821847529225,0.7341287825770489,0.6538461538461539,,0.692
imagined,D LOSO + 16 calib trials,False,70,26,0.9615384615384616,0.803630353237461,0.9990267121066649,0.6538461538461539,,0.6933333333333334
imagined,D LOSO + 16 calib trials,False,73,26,0.7692307692307693,0.5635249030586136,0.9102598891154248,0.6538461538461539,,0.696
imagined,D LOSO + 16 calib trials,False,76,26,0.6538461538461539,0.4433280739576097,0.8278558619943336,0.6538461538461539,,0.6926666666666667
imagined,D LOSO + 16 calib trials,False,78,26,0.5769230769230769,0.3691803809239666,0.7664780168725565,0.6538461538461539,,0.6906666666666667
imagined,D LOSO + 16 calib trials,False,80,26,0.7307692307692307,0.5221252103061685,0.884267786708496,0.6538461538461539,,0.6926666666666667
imagined,D LOSO + 16 calib trials,False,81,26,0.7692307692307693,0.5635249030586136,0.9102598891154248,0.6538461538461539,,0.6926666666666667
imagined,D LOSO + 16 calib trials,False,83,29,0.6896551724137931,0.4916766461900099,0.8471540603913684,0.6551724137931034,,0.6926666666666667
imagined,D LOSO + 16 calib trials,False,86,29,0.9655172413793104,0.822355704511277,0.9991273531164201,0.6551724137931034,,0.692
imagined,D LOSO + 16 calib trials,False,87,26,0.5384615384615384,0.33370821847529225,0.7341287825770489,0.6538461538461539,,0.692
imagined,D LOSO + 16 calib trials,False,90,26,0.5,0.2992721794415965,0.7007278205584035,0.6538461538461539,,0.6933333333333334
imagined,D LOSO + 16 calib trials,False,94,26,0.9230769230769231,0.7486970833046261,0.9905446089962873,0.6538461538461539,,0.6926666666666667
imagined,D LOSO + 16 calib trials,False,96,29,0.5517241379310345,0.3569387108039151,0.735544696293295,0.6551724137931034,,0.6933333333333334
imagined,D LOSO + 16 calib trials,False,102,26,0.7692307692307693,0.5635249030586136,0.9102598891154248,0.6538461538461539,,0.6926666666666667
imagined,D LOSO + 16 calib trials,False,103,29,0.5172413793103449,0.32531499636145644,0.7055144170481589,0.6551724137931034,,0.692
imagined,D LOSO + 16 calib trials,False,105,26,0.5769230769230769,0.3691803809239666,0.7664780168725565,0.6538461538461539,,0.6913333333333334
imagined,D LOSO + 16 calib trials,False,106,29,0.6551724137931034,0.4566942723320567,0.8206163507648881,0.6551724137931034,,0.6906666666666667
imagined,D LOSO + 16 calib trials,False,109,26,0.5384615384615384,0.33370821847529225,0.7341287825770489,0.6538461538461539,,0.6933333333333334
imagined,"A within-subj, random CV",True,1,45,0.28888888888888886,0.16366256044568112,0.4431452770852318,0.6222222222222222,0.5111111111111111,
imagined,"A within-subj, random CV",True,2,42,0.6904761904761905,0.5291393710678833,0.8237789173580449,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,4,42,0.6428571428571429,0.4802605583854622,0.7844922585742125,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,5,42,0.38095238095238093,0.23572054686321633,0.5436325045021015,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,6,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,7,45,0.6222222222222222,0.4654101126463728,0.7623217552722018,0.6222222222222222,0.5111111111111111,
imagined,"A within-subj, random CV",True,8,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,9,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,10,42,0.40476190476190477,0.25629092548365795,0.5671791092799632,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,13,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,14,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,19,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,20,42,0.6428571428571429,0.4802605583854622,0.7844922585742125,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,22,45,0.3333333333333333,0.20000568801069493,0.48950363785836143,0.6222222222222222,0.5111111111111111,
imagined,"A within-subj, random CV",True,25,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,26,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,27,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,30,45,0.35555555555555557,0.21868401073558577,0.5121989948518539,0.6222222222222222,0.5333333333333333,
imagined,"A within-subj, random CV",True,31,42,0.4523809523809524,0.2984588131963176,0.6132682127621256,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,32,45,0.4888888888888889,0.3370337483927935,0.6422596143299697,0.6222222222222222,0.5333333333333333,
imagined,"A within-subj, random CV",True,33,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,35,45,0.7111111111111111,0.5568547229147682,0.8363374395543188,0.6222222222222222,0.5111111111111111,
imagined,"A within-subj, random CV",True,36,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,37,43,0.4883720930232558,0.3330513538648937,0.6453532269489863,0.627906976744186,0.5116279069767442,
imagined,"A within-subj, random CV",True,39,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",True,41,44,0.4772727272727273,0.324614216397083,0.6331024834071655,0.6136363636363636,0.5227272727272727,
imagined,"A within-subj, random CV",True,43,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191,0.5,
